"爬取数量: 2130, 更新时间: 2025-06-21 20:16:07"
标题,区域,地块,小区,面积,朝向,户型,楼层信息,价格,标签,详情页链接,维护时间
整租·南沙湾石奥 1室1厅 东南/南,南沙,南沙港,南沙湾石奥,90.40㎡,东南 南,1室1厅1卫,低楼层 （8层）,3300,新上|精装,https://gz.lianjia.com/zufang//zufang/GZ2046800012951683072.html,2天前维护
合租·品秀星樾 4居室 南卧,黄埔,香雪,品秀星樾,13.11㎡,南,4室1厅2卫,低楼层 （33层）,1848,公寓|独立卫生间|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1999026715745058816.html,今天维护
整租·美心花园 3室1厅 东南,番禺,市桥东,美心花园,68.00㎡,东南,3室1厅1卫,中楼层 （7层）,2000,新上,https://gz.lianjia.com/zufang//zufang/GZ2046912431686418432.html,2天前维护
合租·佰利山 5居室 南卧,番禺,雅居乐,佰利山,13.72㎡,南,5室1厅2卫,中楼层 （32层）,1774,新上|公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1784646572403851264.html,1天前维护
整租·南沙大都汇 2室1厅 南,南沙,金洲,南沙大都汇,53.61㎡,南,2室1厅1卫,低楼层 （28层）,1700,新上|精装,https://gz.lianjia.com/zufang//zufang/GZ2046886090391945216.html,2天前维护
合租·翠湖山庄 4居室 东卧,天河,天河公园,翠湖山庄,8.06㎡,东,4室1厅2卫,低楼层 （17层）,2194,公寓|独立卫生间|拎包入住|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1960050831625551872.html,10天前维护
整租·尚东数字居 1室1厅 北,番禺,星河湾,尚东数字居,53.00㎡,北,1室1厅2卫,中楼层 （21层）,3300,新上|精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046926702960967680.html,2天前维护
整租·黄埔中央城 3室1厅 南,黄埔,香雪,黄埔中央城,131.34㎡,南,3室1厅2卫,中楼层 （39层）,4819,公寓|拎包入住|精装|押一付一|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1855121925798363136.html,今天维护
整租·万科云城米酷 1室1厅 南,天河,智慧城,万科云城米酷,25.00㎡,南,1室1厅1卫,中楼层 （12层）,2700,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046946366751506432.html,1天前维护
整租·纵横公寓 1室1厅 北,海珠,赤岗,纵横公寓,67.00㎡,北,1室1厅1卫,中楼层 （30层）,5030,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1944709340187328512.html,今天维护
整租·南沙万达广场 1室0厅 东,南沙,金洲,南沙万达广场,39.00㎡,东,1室0厅1卫,高楼层 （26层）,1400,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046858922496622592.html,1天前维护
合租·金豪嘉苑 4居室 南卧,海珠,滨江东,金豪嘉苑,7.20㎡,南,4室1厅2卫,高楼层 （26层）,1711,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1784651411271712768.html,今天维护
整租·暹岗花园 1室1厅 北,黄埔,科学城,暹岗花园,55.00㎡,北,1室1厅1卫,中楼层 （32层）,3000,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2047245482727571456.html,今天维护
合租·文冲新村四期 4居室 北卧,黄埔,文冲,文冲新村四期,9.17㎡,北,4室1厅2卫,中楼层 （32层）,1459,公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1784646671968239616.html,1天前维护
整租·奥园城市天地 1室1厅 南,番禺,汉溪长隆,奥园城市天地,45.00㎡,南,1室1厅1卫,高楼层 （22层）,2800,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046910344655273984.html,1天前维护
