"爬取数量: 3000, 更新时间: 2025-06-25 16:11:39"
标题,区域,地块,小区,面积,朝向,户型,楼层信息,价格,标签,详情页链接,维护时间
整租·保利心语 3室1厅 北,天河,珠江新城中,保利心语,110.44㎡,北,3室1厅2卫,低楼层 （32层）,11000,新上|近地铁|双卫生间,https://gz.lianjia.com/zufang/GZ2048262702249279488.html,2天前维护
合租·德荣小区 4居室 北卧,精选,天河,龙口西,德荣小区,13.20㎡,北,4室1厅1卫,2058,公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang/GZ2045692634013368320.html,8天前维护
整租·致岭假日花园 2室2厅 东/东南,花都,狮岭镇,致岭假日花园,85.00㎡,东 东南,2室2厅1卫,中楼层 （11层）,2300,新上|精装,https://gz.lianjia.com/zufang/GZ2048346063974170624.html,今天维护
合租·小新塘大未来 4居室 南卧,天河,智慧城,小新塘大未来,11.00㎡,南,4室1厅1卫,中楼层 （18层）,1323,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang/GZ2026441612430671872.html,今天维护
整租·敏捷东樾府 3室2厅 北,增城,石滩镇,敏捷东樾府,84.00㎡,北,3室2厅1卫,中楼层 （34层）,1300,精装|随时看房,https://gz.lianjia.com/zufang/GZ1951215291312635904.html,null
合租·萝岗和苑 4居室 南卧,黄埔,科学城,萝岗和苑,10.18㎡,南,4室1厅1卫,中楼层 （33层）,1291,公寓|拎包入住|近地铁|精装|押一付一|随时看房,https://gz.lianjia.com/zufang/GZ2029192298461396992.html,今天维护
整租·香江国际金融中心 2室1厅 南,南沙,金洲,香江国际金融中心,56.00㎡,南,2室1厅1卫,高楼层 （22层）,1800,精装|随时看房,https://gz.lianjia.com/zufang/GZ2034259762551455744.html,2天前维护
合租·东雅园 4居室 南卧,番禺,东怡新区,东雅园,17.50㎡,南,4室1厅2卫,高楼层 （7层）,1606,公寓|独立卫生间|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang/GZ2030323768856936448.html,今天维护
整租·农林下路 2室1厅 南/北,越秀,东风东,农林下路,65.57㎡,南 北,2室1厅1卫,中楼层 （8层）,4600,新上|随时看房,https://gz.lianjia.com/zufang/GZ2048338087955660800.html,2天前维护
合租·跑马地花园 4居室 东卧,天河,珠江新城东,跑马地花园,13.00㎡,东,4室1厅2卫,低楼层 （15层）,2026,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang/GZ2030376679892844544.html,今天维护
