"爬取数量: 1650, 更新时间: 2025-06-21 19:59:34"
标题,区域,地块,小区,面积,朝向,户型,楼层信息,价格,标签,详情页链接,维护时间
整租·尚塬颐都汇 1室1厅 南,天河,沙河,尚塬颐都汇,60.00㎡,南,1室1厅1卫,低楼层 （28层）,3300,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046886612297580544.html,1天前维护
合租·云裳丽影 4居室 东卧,精选,白云,同和,云裳丽影,5.30㎡,东,4室1厅2卫,1323,新上|公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ2018795779157655552.html,6天前维护
整租·璞悦台 4室2厅 南/北,番禺,市桥北,璞悦台,130.00㎡,南 北,4室2厅2卫,高楼层 （30层）,5500,新上|精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2046535838434590720.html,3天前维护
合租·康裕北苑 4居室 北卧,精选,番禺,市桥,康裕北苑,10.00㎡,北,4室1厅2卫,1218,公寓|拎包入住|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1884953225270919168.html,4天前维护
整租·珠江铂世湾 3室2厅 南/北,番禺,华南新城,珠江铂世湾,140.00㎡,南 北,3室2厅2卫,高楼层 （39层）,8000,新上|近地铁|精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2046852761672220672.html,今天维护
合租·德荣小区 4居室 北卧,精选,天河,龙口西,德荣小区,13.20㎡,北,4室1厅1卫,2058,新上|公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ2045692634013368320.html,4天前维护
整租·侨基花园 2室2厅 东南,番禺,市桥,侨基花园,66.00㎡,东南,2室2厅1卫,低楼层 （32层）,2500,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046879110663241728.html,2天前维护
合租·鸿景园 4居室 南卧,精选,天河,天润路,鸿景园,12.54㎡,南,4室1厅1卫,1921,公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ2043515696767303680.html,11天前维护
整租·恒骏花园 1室1厅 西南,白云,京溪,恒骏花园,60.00㎡,西南,1室1厅1卫,高楼层 （10层）,2800,新上|近地铁,https://gz.lianjia.com/zufang//zufang/GZ2046827948006178816.html,1天前维护
合租·黄花新村 4居室 南卧,精选,越秀,淘金,黄花新村,6.50㎡,南,4室1厅2卫,1533,公寓|拎包入住|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1787734170399670272.html,1天前维护
整租·蔬果宿舍 1室1厅 南,白云,机场路,蔬果宿舍,56.00㎡,南,1室1厅1卫,高楼层 （9层）,1000,新上,https://gz.lianjia.com/zufang//zufang/GZ2046790954748215296.html,2天前维护
合租·富力半岛 4居室 北卧,精选,白云,罗冲围,富力半岛,6.50㎡,北,4室1厅1卫,1060,公寓|拎包入住|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1789602377926443008.html,1天前维护
整租·华景新城沁馥佳苑 3室1厅 南,天河,华景新城,华景新城沁馥佳苑,93.00㎡,南,3室1厅1卫,中楼层 （11层）,5400,新上|近地铁|精装,https://gz.lianjia.com/zufang//zufang/GZ2046468003536568320.html,今天维护
