"爬取数量: 1710, 更新时间: 2025-06-23 21:30:30"
标题,区域,地块,小区,面积,朝向,户型,楼层信息,价格,标签,详情页链接,维护时间
整租·保利中环广场 3室2厅 东,越秀,建设路,保利中环广场,133.44㎡,东,3室2厅2卫,中楼层 （36层）,14500,近地铁|精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1733778847188385792.html,null
独栋·悦City青年公寓 一德路店 医护进修佳选 舒适租房静候白衣天使 开间,仅剩2间,30.00㎡,2间在租,1室0厅1卫,null,null,null,1930,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房|押一付一,https://gz.lianjia.com/zufang//apartment/50385.html,null
整租·尚峰酒店公寓 2室2厅 东南,越秀,公园前,尚峰酒店公寓,110.00㎡,东南,2室2厅1卫,中楼层 （46层）,7700,近地铁|精装,https://gz.lianjia.com/zufang//zufang/GZ1800406418730254336.html,3天前维护
独栋·菁屋 人民北店 （6个月起租）全新精装电梯公寓 毕业季首选 大单间 带阳台 开间,仅剩1间,30.00㎡,1间在租,1室0厅1卫,null,null,null,2180,新上|独栋公寓|月租|拎包入住|近地铁|精装|有阳台|开放厨房,https://gz.lianjia.com/zufang//apartment/60473.html,null
整租·金悦东山国际公馆 2室1厅 西北,越秀,黄花岗,金悦东山国际公馆,61.00㎡,西北,2室1厅1卫,中楼层 （31层）,4500,近地铁|精装,https://gz.lianjia.com/zufang//zufang/GZ1805147804352380928.html,null
独栋·青蓝国际社区 广卫路店 看清楚详情再咨询，水5元，电费1.5，无中介费，采光复式单间，公元前地铁步行3分钟 开间,仅剩1间,25.00㎡,1间在租,1室0厅1卫,null,null,null,2300,新上|独栋公寓|月租|拎包入住|近地铁|精装|开放厨房,https://gz.lianjia.com/zufang//apartment/63718.html,null
整租·东风西路 9室5厅 北,越秀,东风西,东风西路,400.00㎡,北,9室5厅9卫,低楼层 （9层）,20000,近地铁|精装,https://gz.lianjia.com/zufang//zufang/GZ1803636143678291968.html,null
独栋·时居公寓 书同店 半年起租 押一付一 电梯单间 开间,仅剩1间,30.00㎡,1间在租,1室0厅1卫,null,null,null,2480,独栋公寓|月租|拎包入住|近地铁|精装|有阳台|开放厨房|押一付一,https://gz.lianjia.com/zufang//apartment/71336.html,null
整租·朝天路 3室2厅 南,越秀,西门口,朝天路,72.00㎡,南,3室2厅1卫,中楼层 （7层）,4000,精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1804729266143756288.html,null
独栋·时居公寓 地铁一号线好房 不短租 公园前 阳光单间 开间,仅剩1间,20.00㎡,1间在租,1室0厅1卫,null,null,null,2080,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房,https://gz.lianjia.com/zufang//apartment/72833.html,null
整租·锦城大厦 1室0厅 南,越秀,东风东,锦城大厦,12.00㎡,南,1室0厅0卫,地下室,2000,近地铁,https://gz.lianjia.com/zufang//zufang/GZ1753012572145057792.html,null
独栋·时居公寓 地铁一号线好房 不短租 公园前 精装单间 开间,仅剩1间,23.00㎡,1间在租,1室0厅1卫,null,null,null,1980,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房,https://gz.lianjia.com/zufang//apartment/72833.html,null
整租·中山三路 1室1厅 南,越秀,农讲所,中山三路,48.00㎡,南,1室1厅1卫,中楼层 （6层）,2900,近地铁|精装,https://gz.lianjia.com/zufang//zufang/GZ1760990341969739776.html,null
独栋·柚家公寓 体育中心店 近时代广场 电梯精装阳光大套间 1室1厅,仅剩1间,45.00㎡,1间在租,1室1厅1卫,null,null,null,4380,独栋公寓|月租|拎包入住|近地铁|精装|开放厨房,https://gz.lianjia.com/zufang//apartment/79452.html,null
