"处理后数量: 1145, 跳过异常: 505, 处理时间: 2025-06-24 02:19:10"
标题,区域,地块,小区,面积,朝向,户型,楼层信息,价格,标签,详情页链接,维护时间
整租·尚塬颐都汇 1室1厅 南,天河,沙河,尚塬颐都汇,60.0,南,1室1厅1卫,低楼层 （28层）,3300,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046886612297580544.html,1天前维护
整租·璞悦台 4室2厅 南/北,番禺,市桥北,璞悦台,130.0,南,4室2厅2卫,高楼层 （30层）,5500,新上|精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2046535838434590720.html,3天前维护
整租·珠江铂世湾 3室2厅 南/北,番禺,华南新城,珠江铂世湾,140.0,南,3室2厅2卫,高楼层 （39层）,8000,新上|近地铁|精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2046852761672220672.html,今天维护
整租·侨基花园 2室2厅 东南,番禺,市桥,侨基花园,66.0,东,2室2厅1卫,低楼层 （32层）,2500,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046879110663241728.html,2天前维护
整租·恒骏花园 1室1厅 西南,白云,京溪,恒骏花园,60.0,南,1室1厅1卫,高楼层 （10层）,2800,新上|近地铁,https://gz.lianjia.com/zufang//zufang/GZ2046827948006178816.html,1天前维护
整租·蔬果宿舍 1室1厅 南,白云,机场路,蔬果宿舍,56.0,南,1室1厅1卫,高楼层 （9层）,1000,新上,https://gz.lianjia.com/zufang//zufang/GZ2046790954748215296.html,2天前维护
整租·华景新城沁馥佳苑 3室1厅 南,天河,华景新城,华景新城沁馥佳苑,93.0,南,3室1厅1卫,中楼层 （11层）,5400,新上|近地铁|精装,https://gz.lianjia.com/zufang//zufang/GZ2046468003536568320.html,今天维护
整租·美的江上沄启 1室0厅 南,南沙,明珠湾,美的江上沄启,40.0,南,1室0厅1卫,中楼层 （21层）,850,新上|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046537844117209088.html,1天前维护
整租·晓港湾 1室1厅 东南,海珠,东晓南,晓港湾,38.0,东,1室1厅1卫,高楼层 （9层）,3100,近地铁|精装,https://gz.lianjia.com/zufang//zufang/GZ2044739797800452096.html,null
整租·碧桂园豪进左岸 3室2厅 南,增城,石滩镇,碧桂园豪进左岸,100.0,南,3室2厅2卫,高楼层 （30层）,1350,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2015705833458892800.html,null
整租·中建弘阳德信湾璟壹号 4室2厅 南,南沙,万顷沙,中建弘阳德信湾璟壹号,108.0,南,4室2厅2卫,高楼层 （33层）,3000,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2023661394439700480.html,null
整租·旭辉曜玥湾 4室2厅 南,南沙,明珠湾,旭辉曜玥湾,110.0,南,4室2厅2卫,中楼层 （32层）,2866,精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2003054636000346112.html,null
整租·星汇园 2室1厅 北,天河,珠江新城西,星汇园,94.1,北,2室1厅1卫,低楼层 （33层）,10489,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1889009887468322816.html,今天维护
整租·远洋天骄广场 1室1厅 东,天河,天河客运站,远洋天骄广场,46.47,东,1室1厅1卫,低楼层 （15层）,3559,公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1916551668263026688.html,12天前维护
整租·侨林苑 1室1厅 北,天河,林和,侨林苑,36.02,北,1室1厅1卫,中楼层 （22层）,4336,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1858847449653706752.html,今天维护
整租·富力万科云启 1室1厅 南,天河,车陂,富力万科云启,30.6,南,1室1厅1卫,中楼层 （4层）,3349,公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1881403685435604992.html,9天前维护
整租·合生广场 1室1厅 南,海珠,广州大道南,合生广场,49.09,南,1室1厅1卫,中楼层 （26层）,5071,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1895172351599837184.html,今天维护
整租·创逸雅苑 1室1厅 西,天河,龙口东,创逸雅苑,45.96,西,1室1厅1卫,低楼层 （31层）,4924,公寓|拎包入住|近地铁|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1929597499203387392.html,今天维护
整租·保利金融大都汇 1室1厅 南,天河,金融城,保利金融大都汇,53.89,南,1室1厅1卫,中楼层 （39层）,5239,公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1992290899840729088.html,6天前维护
整租·南沙湾石奥 1室1厅 东南/南,南沙,南沙港,南沙湾石奥,90.4,东,1室1厅1卫,低楼层 （8层）,3300,新上|精装,https://gz.lianjia.com/zufang//zufang/GZ2046800012951683072.html,2天前维护
合租·品秀星樾 4居室 南卧,黄埔,香雪,品秀星樾,13.11,南,4室1厅2卫,低楼层 （33层）,1848,公寓|独立卫生间|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1999026715745058816.html,今天维护
整租·美心花园 3室1厅 东南,番禺,市桥东,美心花园,68.0,东,3室1厅1卫,中楼层 （7层）,2000,新上,https://gz.lianjia.com/zufang//zufang/GZ2046912431686418432.html,2天前维护
合租·佰利山 5居室 南卧,番禺,雅居乐,佰利山,13.72,南,5室1厅2卫,中楼层 （32层）,1774,新上|公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1784646572403851264.html,1天前维护
整租·尚东数字居 1室1厅 北,番禺,星河湾,尚东数字居,53.0,北,1室1厅2卫,中楼层 （21层）,3300,新上|精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046926702960967680.html,2天前维护
整租·南沙大都汇 2室1厅 南,南沙,金洲,南沙大都汇,53.61,南,2室1厅1卫,低楼层 （28层）,1700,新上|精装,https://gz.lianjia.com/zufang//zufang/GZ2046886090391945216.html,2天前维护
整租·黄埔中央城 3室1厅 南,黄埔,香雪,黄埔中央城,131.34,南,3室1厅2卫,中楼层 （39层）,4819,公寓|拎包入住|精装|押一付一|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1855121925798363136.html,今天维护
整租·万科云城米酷 1室1厅 南,天河,智慧城,万科云城米酷,25.0,南,1室1厅1卫,中楼层 （12层）,2700,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046946366751506432.html,1天前维护
整租·纵横公寓 1室1厅 北,海珠,赤岗,纵横公寓,67.0,北,1室1厅1卫,中楼层 （30层）,5030,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1944709340187328512.html,今天维护
整租·南沙万达广场 1室0厅 东,南沙,金洲,南沙万达广场,39.0,东,1室0厅1卫,高楼层 （26层）,1400,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046858922496622592.html,1天前维护
合租·花城湾畔 3居室 南卧,海珠,滨江中,花城湾畔,14.1,南,3室1厅1卫,中楼层 （35层）,2404,新上|公寓|拎包入住|精装|独立阳台|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1784304061655285760.html,3天前维护
整租·暹岗花园 1室1厅 北,黄埔,科学城,暹岗花园,55.0,北,1室1厅1卫,中楼层 （32层）,3000,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2047245482727571456.html,今天维护
整租·奥园城市天地 1室1厅 南,番禺,汉溪长隆,奥园城市天地,45.0,南,1室1厅1卫,高楼层 （22层）,2800,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046910344655273984.html,1天前维护
整租·万科东荟城 2室2厅 北,黄埔,香雪,万科东荟城,70.0,北,2室2厅1卫,中楼层 （28层）,2500,新上|精装,https://gz.lianjia.com/zufang//zufang/GZ2046890380657426432.html,1天前维护
整租·金泽华庭 3室2厅 南,增城,新塘南,金泽华庭,101.0,南,3室2厅1卫,低楼层 （20层）,2300,新上|精装,https://gz.lianjia.com/zufang//zufang/GZ2046926531292299264.html,1天前维护
合租·珠江俊园 5居室 西卧,天河,华景新城,珠江俊园,13.5,西,5室1厅2卫,中楼层 （28层）,2360,公寓|独立卫生间|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1862485556571668480.html,今天维护
整租·实地蔷薇国际 3室2厅 北,增城,荔城西区,实地蔷薇国际,86.0,北,3室2厅1卫,中楼层 （32层）,1800,精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2806504118946889728.html,null
整租·广州气象卫星地面站 2室1厅 南/北,天河,五山,广州气象卫星地面站,66.5,南,2室1厅1卫,中楼层 （6层）,3200,新上|精装,https://gz.lianjia.com/zufang//zufang/GZ2046846599031685120.html,2天前维护
合租·鸿景园 4居室 北卧,天河,天润路,鸿景园,13.4,北,4室1厅2卫,中楼层 （32层）,1953,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1935424240954114048.html,今天维护
合租·华苑大厦 3居室 南卧,天河,体育中心,华苑大厦,10.0,南,3室1厅1卫,低楼层 （30层）,1921,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1989262116174954496.html,今天维护
合租·嘉宝华庭 4居室 西卧,天河,龙口西,嘉宝华庭,15.2,西,4室1厅2卫,中楼层 （29层）,2898,公寓|独立卫生间|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1993293516536545280.html,今天维护
合租·富景花苑 4居室 西卧,天河,天河南,富景花苑,12.78,西,4室1厅2卫,中楼层 （9层）,1984,公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1936848952590598144.html,2天前维护
合租·新溪苑小区 4居室 东卧,黄埔,黄埔区府,新溪苑小区,10.09,东,4室1厅1卫,高楼层 （30层）,1396,公寓|拎包入住|近地铁|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1959206403335782400.html,今天维护
合租·可逸豪苑 4居室 南卧,海珠,宝岗,可逸豪苑,11.2,南,4室1厅2卫,中楼层 （32层）,2163,公寓|独立卫生间|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1774378806061039616.html,今天维护
整租·珠光御景山水城 3室2厅 南/北,从化,江浦街,珠光御景山水城,90.0,南,3室2厅2卫,低楼层 （32层）,1700,业主自荐|新上|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2046813289509289984.html,今天维护
整租·绿城·江府海棠 3室2厅 东南,白云,江高镇,绿城·江府海棠,100.0,东,3室2厅2卫,低楼层 （24层）,3500,新上|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2047220933902467072.html,今天维护
合租·金雅苑 3居室 北卧,海珠,滨江东,金雅苑,10.0,北,3室1厅1卫,中楼层 （21层）,1743,公寓|拎包入住|精装|独立阳台|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1884572384829112320.html,今天维护
整租·朗云花园 4室2厅 东南,白云,夏茅,朗云花园,120.0,东,4室2厅2卫,低楼层 （33层）,6500,新上|精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2047172833557086208.html,今天维护
整租·跑马地花园三期 1室1厅 东,天河,珠江新城东,跑马地花园三期,46.25,东,1室1厅1卫,低楼层 （33层）,4368,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1803810802482806784.html,今天维护
整租·四季花园 2室2厅 东北,荔湾,坑口,四季花园,78.5,东,2室2厅1卫,中楼层 （18层）,3600,新上|近地铁,https://gz.lianjia.com/zufang//zufang/GZ2046927335696891904.html,1天前维护
整租·远洋天骄 1室1厅 西,天河,天河客运站,远洋天骄,46.0,西,1室1厅1卫,高楼层 （15层）,3559,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2553487308397748224.html,今天维护
整租·碧桂园凤凰城凤凰岛 2室2厅 南/北,增城,凤凰城,碧桂园凤凰城凤凰岛,109.0,南,2室2厅2卫,低楼层 （4层）,2800,新上|精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2046546484828045312.html,2天前维护
整租·纵横公寓 1室1厅 北,海珠,赤岗,纵横公寓,58.0,北,1室1厅1卫,低楼层 （30层）,4714,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2052997064593244160.html,今天维护
整租·珠江铂世湾 3室2厅 南,番禺,华南新城,珠江铂世湾,98.0,南,3室2厅2卫,低楼层 （33层）,5500,新上|精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2047239640150179840.html,今天维护
整租·琶洲新村公寓 1室1厅 东,海珠,万胜围,琶洲新村公寓,56.0,东,1室1厅1卫,低楼层 （41层）,5491,公寓|拎包入住|近地铁|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1782392523658887168.html,今天维护
整租·旭辉曜玥湾 4室2厅 南,南沙,明珠湾,旭辉曜玥湾,126.0,南,4室2厅2卫,中楼层 （43层）,3300,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1961026252114493440.html,null
整租·五羊小区 1室1厅 北,越秀,五羊新城,五羊小区,29.66,北,1室1厅1卫,中楼层 （10层）,3496,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1805436772277026816.html,今天维护
整租·人和花园 1室1厅 东北,白云,人和,人和花园,53.0,东,1室1厅1卫,高楼层 （6层）,1380,新上|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046568860798156800.html,2天前维护
整租·富力万科云启 1室1厅 南,天河,车陂,富力万科云启,23.31,南,1室1厅1卫,高楼层 （4层）,2971,公寓|拎包入住|近地铁|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1831602437564137472.html,今天维护
整租·鸿运花园 2室1厅 南,海珠,客村,鸿运花园,60.0,南,2室1厅1卫,中楼层 （8层）,4800,新上|近地铁|精装,https://gz.lianjia.com/zufang//zufang/GZ2046804629655650304.html,1天前维护
整租·侨林苑 1室1厅 北,天河,林和,侨林苑,36.02,北,1室1厅1卫,中楼层 （22层）,4336,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1858847449653706752.html,今天维护
整租·万科云城米酷 1室0厅 南,天河,智慧城,万科云城米酷,35.0,南,1室0厅1卫,中楼层 （12层）,1900,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046863085808910336.html,2天前维护
整租·富力万科云启 1室1厅 南,天河,车陂,富力万科云启,30.6,南,1室1厅1卫,中楼层 （4层）,3349,公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1881403685435604992.html,9天前维护
整租·锦绣新天地 3室1厅 南,增城,新塘南,锦绣新天地,133.0,南,3室1厅2卫,低楼层 （28层）,2400,新上|精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2046846422883500032.html,1天前维护
整租·合生广场 1室1厅 南,海珠,广州大道南,合生广场,49.09,南,1室1厅1卫,中楼层 （26层）,5071,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1895172351599837184.html,今天维护
整租·星樾·山畔 3室2厅 南,黄埔,科学城,星樾·山畔,93.2,南,3室2厅2卫,高楼层 （33层）,4500,新上|近地铁|精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2046871650720284672.html,1天前维护
整租·星汇园 2室1厅 北,天河,珠江新城西,星汇园,94.1,北,2室1厅1卫,低楼层 （33层）,10489,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1889009887468322816.html,今天维护
整租·创逸雅苑 1室1厅 西,天河,龙口东,创逸雅苑,45.96,西,1室1厅1卫,低楼层 （31层）,4924,公寓|拎包入住|近地铁|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1929597499203387392.html,今天维护
整租·远洋天骄 1室1厅 东,天河,天河客运站,远洋天骄,46.0,东,1室1厅1卫,低楼层 （15层）,3738,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1788882519911825408.html,今天维护
整租·君立国际公寓 1室1厅 南,白云,同和,君立国际公寓,40.59,南,1室1厅1卫,低楼层 （25层）,2824,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1799340752673701888.html,今天维护
整租·鱼珠湾海丝创新中心 1室1厅 南,黄埔,鱼珠,鱼珠湾海丝创新中心,43.33,南,1室1厅1卫,低楼层 （24层）,3979,公寓|拎包入住|近地铁|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1808199210848223232.html,今天维护
整租·侨林苑 1室1厅 北,天河,林和,侨林苑,53.0,北,1室1厅1卫,高楼层 （31层）,5764,公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1898055585127989248.html,今天维护
整租·远洋天骄广场 1室1厅 东,天河,天河客运站,远洋天骄广场,46.47,东,1室1厅1卫,低楼层 （15层）,3559,公寓|拎包入住|近地铁|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ1916551668263026688.html,12天前维护
合租·新溪苑小区 4居室 北卧,黄埔,黄埔区府,新溪苑小区,19.65,北,4室1厅2卫,中楼层 （18层）,1984,公寓|拎包入住|近地铁|精装|独立阳台|押一付一,https://gz.lianjia.com/zufang//zufang/GZ2040282001239441408.html,13天前维护
整租·广州敏捷绿湖首府 3室2厅 南,增城,石滩镇,广州敏捷绿湖首府,116.0,南,3室2厅2卫,中楼层 （32层）,1200,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1611962175146950656.html,null
整租·实地蔷薇国际 4室2厅 南,增城,荔城西区,实地蔷薇国际,116.0,南,4室2厅2卫,低楼层 （32层）,3100,精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ1603976611328163840.html,null
整租·恒大山水城 3室2厅 东南,增城,中新镇,恒大山水城,100.0,东,3室2厅1卫,低楼层 （18层）,2500,精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2902079287912316928.html,2天前维护
