"处理后数量: 1670, 跳过异常: 280, 处理时间: 2025-06-24 02:19:10"
标题,区域,地块,小区,面积,朝向,户型,楼层信息,价格,标签,详情页链接,维护时间
整租·嘉逸花园 2室1厅 北,天河,粤垦,嘉逸花园,71.6,北,2室1厅1卫,低楼层 （26层）,3800,新上|精装,https://gz.lianjia.com/zufang//zufang/GZ2046885326177173504.html,2天前维护
整租·豪景花园 2室1厅 西,天河,沙河,豪景花园,67.0,西,2室1厅1卫,中楼层 （19层）,4000,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2047733808328867840.html,今天维护
整租·天雅阁 1室0厅 南,天河,天润路,天雅阁,26.0,南,1室0厅1卫,高楼层 （9层）,1800,新上|近地铁|精装,https://gz.lianjia.com/zufang//zufang/GZ2047522199790682112.html,1天前维护
整租·龙盛花园 1室1厅 北,天河,棠下,龙盛花园,25.0,北,1室1厅1卫,低楼层 （9层）,2000,新上|近地铁|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2047515129653755904.html,2天前维护
合租·聚龙阁 4居室 南卧,天河,龙口西,聚龙阁,12.0,南,4室1厅2卫,中楼层 （31层）,2026,公寓|拎包入住|精装|独立阳台|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2018226706690605056.html,今天维护
整租·铂林国际公寓 1室1厅 北,天河,珠江新城西,铂林国际公寓,38.0,北,1室1厅1卫,高楼层 （22层）,4500,新上|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046958394052444160.html,2天前维护
合租·穗园小区 4居室 南卧,天河,天润路,穗园小区,14.4,南,4室1厅2卫,低楼层 （30层）,1984,公寓|拎包入住|精装|独立阳台|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2018228509037559808.html,今天维护
整租·美林湖畔花园 3室2厅 南,天河,东圃,美林湖畔花园,107.5,南,3室2厅2卫,中楼层 （18层）,6500,新上|近地铁|精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046987866575208448.html,2天前维护
合租·小新塘大未来 4居室 南卧,天河,智慧城,小新塘大未来,11.0,南,4室1厅1卫,低楼层 （18层）,1501,公寓|月租|拎包入住|精装|押一付一,https://gz.lianjia.com/zufang//zufang/GZ2018408145855971328.html,9天前维护
整租·盈彩美居 2室2厅 南,天河,东圃,盈彩美居,82.88,南,2室2厅1卫,中楼层 （18层）,4200,新上|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2047577432596152320.html,1天前维护
