"处理后数量: 1557, 跳过异常: 63, 处理时间: 2025-06-25 16:11:39"
标题,区域,地块,小区,面积,朝向,户型,楼层信息,价格,标签,详情页链接,维护时间
整租·嘉御豪庭 3室2厅 西北/北,增城,石滩镇,嘉御豪庭,102.0,西,3室2厅2卫,低楼层 （32层）,1100,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2002747673890783232.html,4天前维护
整租·敏捷锦绣天伦 1室1厅 南,增城,新塘北,敏捷锦绣天伦,57.0,南,1室1厅1卫,高楼层 （18层）,2200,新上|精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2046940799291097088.html,今天维护
整租·金泽华庭 3室2厅 南,增城,新塘南,金泽华庭,101.0,南,3室2厅1卫,低楼层 （20层）,2300,新上|精装,https://gz.lianjia.com/zufang//zufang/GZ2046926531292299264.html,1天前维护
整租·实地蔷薇国际 3室2厅 北,增城,荔城西区,实地蔷薇国际,86.0,北,3室2厅1卫,中楼层 （32层）,1800,精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2806504118946889728.html,null
整租·碧桂园凤凰城凤凰岛 2室2厅 南/北,增城,凤凰城,碧桂园凤凰城凤凰岛,109.0,南,2室2厅2卫,低楼层 （4层）,2800,新上|精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2046546484828045312.html,2天前维护
整租·锦绣新天地 3室1厅 南,增城,新塘南,锦绣新天地,133.0,南,3室1厅2卫,低楼层 （28层）,2400,新上|精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2046846422883500032.html,1天前维护
整租·碧桂园豪进左岸 3室2厅 南,增城,石滩镇,碧桂园豪进左岸,100.0,南,3室2厅2卫,高楼层 （30层）,1350,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2015705833458892800.html,null
整租·合景誉山国际三区 3室2厅 南/北,增城,永宁,合景誉山国际三区,96.0,南,3室2厅1卫,中楼层 （25层）,1668,精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1939916518393380864.html,null
整租·敏捷绿湖首府三期 3室2厅 南,增城,石滩镇,敏捷绿湖首府三期,103.0,南,3室2厅2卫,高楼层 （32层）,1500,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2027993968255434752.html,null
整租·佳大花漾时光 1室1厅 南,增城,新塘北,佳大花漾时光,43.9,南,1室1厅1卫,中楼层 （17层）,1600,,https://gz.lianjia.com/zufang//zufang/GZ2043160022073999360.html,今天维护
整租·敏捷绿湖首府三期 3室2厅 北,增城,石滩镇,敏捷绿湖首府三期,84.45,北,3室2厅1卫,中楼层 （32层）,1200,随时看房,https://gz.lianjia.com/zufang//zufang/GZ1962002093673807872.html,4天前维护
整租·力诚凯怡湾 3室2厅 南,增城,新塘南,力诚凯怡湾,85.0,南,3室2厅1卫,高楼层 （18层）,2500,新上|精装,https://gz.lianjia.com/zufang//zufang/GZ2046147827934953472.html,4天前维护
整租·万科桃源里 2室1厅 南,增城,派潭镇,万科桃源里,70.0,南,2室1厅1卫,低楼层 （33层）,1200,,https://gz.lianjia.com/zufang//zufang/GZ2034865079622565888.html,2天前维护
整租·金众江悦府 4室1厅 西北,增城,石滩镇,金众江悦府,116.94,西,4室1厅2卫,低楼层 （30层）,1400,精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2038904682088235008.html,null
整租·碧桂园凤凰城凤锦苑 3室2厅 南,增城,凤凰城,碧桂园凤凰城凤锦苑,122.0,南,3室2厅2卫,高楼层 （26层）,3000,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2005153435258716160.html,null
合租·新都盛世名门 5居室 东卧,增城,白江,新都盛世名门,13.07,东,5室1厅2卫,低楼层 （29层）,1039,新上|公寓|拎包入住|精装|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2047274430735843328.html,今天维护
整租·富好城 4室2厅 东南,增城,新塘北,富好城,129.27,东,4室2厅2卫,中楼层 （11层）,2300,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2025184332561252352.html,null
合租·新都盛世名门 4居室 南卧,增城,白江,新都盛世名门,12.0,南,4室1厅2卫,低楼层 （12层）,1186,公寓|拎包入住|精装|独立阳台|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2045040680505442304.html,今天维护
整租·碧桂园凤凰城凤锦苑 3室1厅 南,增城,凤凰城,碧桂园凤凰城凤锦苑,107.0,南,3室1厅1卫,低楼层 （24层）,1800,精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1982408688958177280.html,null
合租·新都盛世名门宏城汇 4居室 南卧,增城,白江,新都盛世名门宏城汇,12.0,南,4室1厅2卫,低楼层 （22层）,1144,公寓|拎包入住|精装|独立阳台|押一付一|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2039711734188474368.html,今天维护
整租·恒大山水郡 3室2厅 东,增城,中新镇,恒大山水郡,90.0,东,3室2厅1卫,高楼层 （26层）,1125,精装,https://gz.lianjia.com/zufang//zufang/GZ1699029188813520896.html,null
整租·绿地珑玥府 4室2厅 南,增城,荔城增江,绿地珑玥府,127.0,南,4室2厅2卫,中楼层 （31层）,2800,精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2010634161303322624.html,2天前维护
整租·长风国际公寓 1室1厅 南,增城,新塘北,长风国际公寓,60.0,南,1室1厅2卫,高楼层 （21层）,1300,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1966067340281905152.html,3天前维护
整租·时代廊桥(增城) 3室1厅 北,增城,永宁,时代廊桥(增城),82.0,北,3室1厅1卫,中楼层 （33层）,1500,精装|随时看房,https://gz.lianjia.com/zufang//zufang/GZ1951257239020896256.html,null
整租·广州万科城 4室2厅 南/北,增城,永宁,广州万科城,100.88,南,4室2厅2卫,高楼层 （48层）,2300,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2028117829626101760.html,null
整租·碧桂园豪进左岸 3室2厅 北,增城,石滩镇,碧桂园豪进左岸,103.0,北,3室2厅2卫,高楼层 （31层）,1500,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2020363098958856192.html,null
整租·保利小楼大院 4室3厅 复式 南,增城,小楼镇,保利小楼大院,212.0,南,4室3厅3卫,中楼层 （4层）,3200,随时看房,https://gz.lianjia.com/zufang//zufang/GZ1946509840033513472.html,4天前维护
整租·碧桂园豪进左岸 3室2厅 南,增城,石滩镇,碧桂园豪进左岸,102.0,南,3室2厅2卫,低楼层 （21层）,1300,精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2041748015332458496.html,null
整租·万科桃源里 2室2厅 南/北,增城,派潭镇,万科桃源里,69.0,南,2室2厅1卫,低楼层 （11层）,1000,精装,https://gz.lianjia.com/zufang//zufang/GZ1906962278188580864.html,null
整租·碧桂园凤凰城凤锦苑 3室2厅 南,增城,凤凰城,碧桂园凤凰城凤锦苑,107.0,南,3室2厅2卫,中楼层 （22层）,2000,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2018315298486091776.html,null
整租·碧桂园凤凰城凤天苑 4室2厅 南,增城,凤凰城,碧桂园凤凰城凤天苑,135.0,南,4室2厅2卫,高楼层 （24层）,2300,精装|双卫生间,https://gz.lianjia.com/zufang//zufang/GZ2002673853234413568.html,1天前维护
整租·碧桂园凤凰城凤馨苑 3室2厅 复式 南,增城,凤凰城,碧桂园凤凰城凤馨苑,98.0,南,3室2厅2卫,高楼层 （18层）,2100,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang//zufang/GZ2009172549690195968.html,null
