"处理后数量: 1636, 跳过异常: 26, 处理时间: 2025-06-23 23:19:12"
标题,区域,地块,小区,面积,朝向,户型,楼层信息,价格,标签,详情页链接,维护时间
整租·珠光御景山水城 3室2厅 南,从化,江浦街,珠光御景山水城,126.0,南,3室2厅2卫,低楼层 （18层）,2000,双卫生间,https://gz.lianjia.com/zufang/GZ1970709299164348416.html,3天前维护
整租·时代印象 3室2厅 南,从化,太平镇,时代印象,98.0,南,3室2厅2卫,高楼层 （32层）,2300,近地铁|精装|双卫生间|随时看房,https://gz.lianjia.com/zufang/GZ1971537457824399360.html,1天前维护
整租·富力泉天下 2室2厅 北,从化,温泉镇,富力泉天下,81.0,北,2室2厅1卫,中楼层 （18层）,1440,精装|随时看房,https://gz.lianjia.com/zufang/GZ1875443828291272704.html,null
整租·方圆明月山溪 4室2厅 南,从化,温泉镇,方圆明月山溪,188.0,南,4室2厅2卫,中楼层 （16层）,2000,精装|双卫生间,https://gz.lianjia.com/zufang/GZ1875797062851756032.html,4天前维护
整租·富力泉天下 3室2厅 南,从化,温泉镇,富力泉天下,100.0,南,3室2厅1卫,低楼层 （18层）,1500,精装|随时看房,https://gz.lianjia.com/zufang/GZ1882024499382059008.html,null
整租·方圆明月山溪 5室2厅 复式 东南,从化,温泉镇,方圆明月山溪,297.0,东,5室2厅3卫,高楼层 （3层）,6880,精装|随时看房,https://gz.lianjia.com/zufang/GZ1972225156923260928.html,null
整租·紫泉流溪湾 2室1厅 东南,从化,太平镇,紫泉流溪湾,79.0,东,2室1厅1卫,高楼层 （18层）,1800,精装|随时看房,https://gz.lianjia.com/zufang/GZ1972606254064861184.html,4天前维护
整租·骏雅名庭 4室2厅 西北,从化,新城片区,骏雅名庭,179.0,西,4室2厅3卫,高楼层 （7层）,1650,,https://gz.lianjia.com/zufang/GZ1970818039100211200.html,null
整租·人盛巴厘天地 2室2厅 东南,从化,神岗镇,人盛巴厘天地,84.0,东,2室2厅1卫,中楼层 （17层）,1600,精装|随时看房,https://gz.lianjia.com/zufang/GZ1883897622121414656.html,null
整租·景业荔都 3室2厅 南,从化,江浦街,景业荔都,113.18,南,3室2厅2卫,低楼层 （26层）,1400,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang/GZ1885174857558130688.html,null
整租·雅居乐滨江雅苑 3室2厅 南,从化,太平镇,雅居乐滨江雅苑,78.0,南,3室2厅1卫,高楼层 （26层）,2000,精装|随时看房,https://gz.lianjia.com/zufang/GZ1888896319997607936.html,2天前维护
整租·广东动漫城 1室0厅 南,从化,神岗镇,广东动漫城,38.0,南,1室0厅1卫,中楼层 （11层）,800,精装|随时看房,https://gz.lianjia.com/zufang/GZ1888185591930028032.html,null
整租·富力泉天下 5室2厅 复式 西南,从化,温泉镇,富力泉天下,206.0,南,5室2厅4卫,低楼层 （3层）,5000,精装,https://gz.lianjia.com/zufang/GZ1889560789577105408.html,4天前维护
整租·富力泉天下 2室1厅 东北,从化,温泉镇,富力泉天下,107.0,东,2室1厅1卫,高楼层 （7层）,800,精装|随时看房,https://gz.lianjia.com/zufang/GZ1889975695296167936.html,null
整租·人盛巴厘天地 3室2厅 西北,从化,神岗镇,人盛巴厘天地,101.0,西,3室2厅1卫,高楼层 （18层）,1100,精装|随时看房,https://gz.lianjia.com/zufang/GZ1889239428648402944.html,null
整租·富力泉天下 3室2厅 南,从化,温泉镇,富力泉天下,108.0,南,3室2厅2卫,低楼层 （23层）,1500,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang/GZ1890306746841300992.html,null
整租·人盛巴厘天地 3室2厅 东南,从化,神岗镇,人盛巴厘天地,102.0,东,3室2厅2卫,中楼层 （17层）,1530,精装|双卫生间|随时看房,https://gz.lianjia.com/zufang/GZ1891427087361769472.html,null
整租·景业荔都 3室2厅 南,从化,江浦街,景业荔都,111.97,南,3室2厅2卫,高楼层 （26层）,1200,精装|双卫生间,https://gz.lianjia.com/zufang/GZ1891432539466235904.html,4天前维护
